folio	line	original	recovered	confidence	candidates
f1r	1	***r*s	cthres	AMBIGUOUS	cthres;kchrrs;ykaras;olaras;otaras
f1r	2	ar*	ary	AMBIGUOUS	ary;arl;aro;are;arg
f1r	2	dan*	dana	HIGH	dana;dany
f1r	3	cth*r	cthor	HIGH	cthor;cthar;cther
f1r	4	cth*ar	cthear	HIGH	cthear;cthaar
f1r	4	cth*ar	cthear	HIGH	cthear;cthaar
f1r	4	*oiin	soiin	AMBIGUOUS	soiin;doiin;koiin;qoiin;roiin
f1r	4	cth*ar	cthear	HIGH	cthear;cthaar
f1r	4	*oiin	soiin	AMBIGUOUS	soiin;doiin;koiin;qoiin;roiin
f1r	4	cth*ar	cthear	HIGH	cthear;cthaar
f1r	7	*	s	AMBIGUOUS	s;y;r;o;l
f1r	7	*	s	AMBIGUOUS	s;y;r;o;l
f1r	7	*y	dy	AMBIGUOUS	dy;sy;ky;ty;ly
f1r	7	sh*	sho	AMBIGUOUS	sho;shy;she;shd;sha
f1r	7	*	s	AMBIGUOUS	s;y;r;o;l
f1r	7	*	s	AMBIGUOUS	s;y;r;o;l
f1r	8	*shy	dshy	AMBIGUOUS	dshy;kshy;tshy;lshy;pshy
f1r	9	sh**	shey	AMBIGUOUS	shey;shol;shor;shdy;sheo
f1r	10	*oteody	qoteody	CERTAIN	qoteody
f1r	10	*s	os	AMBIGUOUS	os;ls;as;ds;es
f1r	10	*s	os	AMBIGUOUS	os;ls;as;ds;es
f1r	11	*	s	AMBIGUOUS	s;y;r;o;l
f1r	11	*	s	AMBIGUOUS	s;y;r;o;l
f1r	11	*	s	AMBIGUOUS	s;y;r;o;l
f1r	11	*	s	AMBIGUOUS	s;y;r;o;l
f1r	13	cph*daiils	cphodaiils	CERTAIN	cphodaiils
f1r	13	cphoda**ls	cphodaiils	CERTAIN	cphodaiils
f1r	13	d*	dy	AMBIGUOUS	dy;dl;do;da;dm
f1r	14	d*n	dan	CERTAIN	dan
f1r	14	d*r	dar	HIGH	dar;dor;dlr;dir
f1r	14	d*n	dan	CERTAIN	dan
f1r	14	kod*	kody	HIGH	kody;kodl
f1r	18	ckhyd*	ckhydy	HIGH	ckhydy;ckhyds
f1r	19	*chy	dchy	AMBIGUOUS	dchy;kchy;tchy;lchy;ochy
f1r	19	*chy	dchy	AMBIGUOUS	dchy;kchy;tchy;lchy;ochy
f1r	19	*chy	dchy	AMBIGUOUS	dchy;kchy;tchy;lchy;ochy
f1r	19	*p*tol	cphtol	CERTAIN	cphtol
f1r	19	d*oct*	dlocta	CERTAIN	dlocta
f1r	22	d*	dy	AMBIGUOUS	dy;dl;do;da;dm
f1r	22	d*	dy	AMBIGUOUS	dy;dl;do;da;dm
f1r	22	d*	dy	AMBIGUOUS	dy;dl;do;da;dm
f1r	23	*doin	ydoin	CERTAIN	ydoin
f1r	23	*doin	ydoin	CERTAIN	ydoin
f1r	23	**oin	ykoin	AMBIGUOUS	ykoin;okoin;ydoin;shoin;oloin
f1r	23	*doin	ydoin	CERTAIN	ydoin
f1r	23	**	ol	AMBIGUOUS	ol;or;ar;dy;al
f1r	24	cho*o	cholo	AMBIGUOUS	cholo;choto;choko;chodo;chofo
f1r	24	*o	qo	AMBIGUOUS	qo;lo;do;ro;so
f1r	24	echo**	echody	CERTAIN	echody
f1r	24	*o	qo	AMBIGUOUS	qo;lo;do;ro;so
f1r	24	cho*o	cholo	AMBIGUOUS	cholo;choto;choko;chodo;chofo
f1r	24	sh*aiin	sheaiin	HIGH	sheaiin;shkaiin;shoaiin;shdaiin;shtaiin
f1r	25	**chol	otchol	AMBIGUOUS	otchol;okchol;opchol;ytchol;ykchol
f1r	25	k**chy	keechy	AMBIGUOUS	keechy;korchy;karchy;kotchy;kadchy
f1r	25	**chol	otchol	AMBIGUOUS	otchol;okchol;opchol;ytchol;ykchol
f1r	25	k**chy	keechy	AMBIGUOUS	keechy;korchy;karchy;kotchy;kadchy
f1r	25	*chol	dchol	AMBIGUOUS	dchol;kchol;tchol;ychol;pchol
f1r	25	**chol	otchol	AMBIGUOUS	otchol;okchol;opchol;ytchol;ykchol
f1r	25	k**chy	keechy	AMBIGUOUS	keechy;korchy;karchy;kotchy;kadchy
f1r	25	ok**	okal	AMBIGUOUS	okal;okar;okol;okey;okor
f1r	25	*chol	dchol	AMBIGUOUS	dchol;kchol;tchol;ychol;pchol
f1r	25	ka*ch*	karchy	HIGH	karchy;kadchy
f1r	26	d*eeo	deeeo	CERTAIN	deeeo
f1r	26	de*o	defo	HIGH	defo;deeo
f1r	26	d*eeo	deeeo	CERTAIN	deeeo
f1r	27	*eo	keo	HIGH	keo;teo;oeo;eeo
f1r	27	*o*	qol	AMBIGUOUS	qol;dol;sol;dor;sor
f1r	27	*eo	keo	HIGH	keo;teo;oeo;eeo
f1r	2	*	s	AMBIGUOUS	s;y;r;o;l
f1r	4	*	s	AMBIGUOUS	s;y;r;o;l
f1r	5	*	s	AMBIGUOUS	s;y;r;o;l
f1r	6	*	s	AMBIGUOUS	s;y;r;o;l
f1r	7	*	s	AMBIGUOUS	s;y;r;o;l
f1r	8	*	s	AMBIGUOUS	s;y;r;o;l
f1r	9	*	s	AMBIGUOUS	s;y;r;o;l
f1r	11	*	s	AMBIGUOUS	s;y;r;o;l
f1r	12	*	s	AMBIGUOUS	s;y;r;o;l
f1r	13	*	s	AMBIGUOUS	s;y;r;o;l
f1r	14	*	s	AMBIGUOUS	s;y;r;o;l
f1r	15	*	s	AMBIGUOUS	s;y;r;o;l
f1r	16	*	s	AMBIGUOUS	s;y;r;o;l
f1r	17	*	s	AMBIGUOUS	s;y;r;o;l
f1r	18	*	s	AMBIGUOUS	s;y;r;o;l
f1r	19	*	s	AMBIGUOUS	s;y;r;o;l
f1r	20	*	s	AMBIGUOUS	s;y;r;o;l
f1r	21	*	s	AMBIGUOUS	s;y;r;o;l
f1r	22	*	s	AMBIGUOUS	s;y;r;o;l
f1r	23	*	s	AMBIGUOUS	s;y;r;o;l
f1r	24	*	s	AMBIGUOUS	s;y;r;o;l
f1r	26	*	s	AMBIGUOUS	s;y;r;o;l
f1v	7	dolch*ody	dolchsody	CERTAIN	dolchsody
f2r	2	***	dar	AMBIGUOUS	dar;dal;qol;chy;sho
f2r	4	*aiidy	daiidy	HIGH	daiidy;saiidy
f2r	11	**saiin	olsaiin	AMBIGUOUS	olsaiin;qosaiin;losaiin;tesaiin;eosaiin
f2v	2	kch*	kchy	AMBIGUOUS	kchy;kcho;kchs;kchm;kche
f3r	9	*or	dor	AMBIGUOUS	dor;sor;lor;tor;kor
f3r	9	*or	dor	AMBIGUOUS	dor;sor;lor;tor;kor
f3v	3	oai*	oain	HIGH	oain;oair
f3v	3	okai*	okain	HIGH	okain;okair;okail;okaim;okais
f3v	3	okai*	okain	HIGH	okain;okair;okail;okaim;okais
f3v	4	chearee*	cheareen	CERTAIN	cheareen
f4r	2	*s	os	AMBIGUOUS	os;ls;as;ds;es
f4r	4	*okaiin	qokaiin	AMBIGUOUS	qokaiin;kokaiin;lokaiin;sokaiin;yokaiin
f4r	5	*tydy	otydy	HIGH	otydy;ytydy
f4r	5	*tady	otady	HIGH	otady;ytady
f4v	5	**	ol	AMBIGUOUS	ol;or;ar;dy;al
f4v	5	cth*	cthy	AMBIGUOUS	cthy;ctho;cthd;cths;ctha
f5r	2	oka*or	okalor	HIGH	okalor;okaror;okasor
f5r	2	ok**or	okchor	AMBIGUOUS	okchor;okeeor;okalor;okshor;okedor
f5r	3	oteee*	oteeey	AMBIGUOUS	oteeey;oteees;oteeen;oteeeo;oteeed
f5v	2	**	ol	AMBIGUOUS	ol;or;ar;dy;al
f5v	2	chot*	choty	HIGH	choty;choto;chots;chote
f5v	2	chot*	choty	HIGH	choty;choto;chots;chote
f5v	3	qo*	qol	AMBIGUOUS	qol;qor;qok;qot;qoy
f6r	4	cho*y	chody	AMBIGUOUS	chody;choty;choky;choly;chory
f6v	3	**eockhy	cheockhy	HIGH	cheockhy;sheockhy;oeeockhy
f6v	5	**	ol	AMBIGUOUS	ol;or;ar;dy;al
f6v	5	sh**	shey	AMBIGUOUS	shey;shol;shor;shdy;sheo
f6v	10	qokche*	qokchey	HIGH	qokchey;qokcheo;qokched
f7v	2	ch**y	chedy	AMBIGUOUS	chedy;cheey;chody;cheky;choty
f7v	4	chotee**	choteeey	HIGH	choteeey;choteeen;choteedy
f7v	6	sh*odaiin	sheodaiin	CERTAIN	sheodaiin
f7v	7	shotch*	shotchy	HIGH	shotchy;shotcho
f7v	7	shotch*	shotchy	HIGH	shotchy;shotcho
f7v	8	te*	tey	HIGH	tey;teo;ted;tel
f8r	6	*cheey	ycheey	AMBIGUOUS	ycheey;dcheey;lcheey;tcheey;kcheey
f8r	14	*o	qo	AMBIGUOUS	qo;lo;do;ro;so
f8r	14	*ey	key	AMBIGUOUS	key;tey;eey;dey;qey
f8r	15	*daiin	odaiin	AMBIGUOUS	odaiin;ydaiin;ldaiin;pdaiin;tdaiin
f8r	17	*y	dy	AMBIGUOUS	dy;sy;ky;ty;ly
f8r	18	*l	ol	AMBIGUOUS	ol;al;dl;yl;kl
f8v	1	*od	qod	AMBIGUOUS	qod;kod;tod;dod;lod
f8v	4	*shol	tshol	AMBIGUOUS	tshol;pshol;dshol;kshol;yshol
f8v	15	ch*y	chey	AMBIGUOUS	chey;chdy;chky;chty;choy
f8v	15	che*y	chedy	AMBIGUOUS	chedy;cheey;cheky;chety;chepy
f8v	15	chee*	cheey	AMBIGUOUS	cheey;chees;cheeo;cheen;cheed
f9r	6	*odo	qodo	CERTAIN	qodo
f9r	9	cho*y	chody	AMBIGUOUS	chody;choty;choky;choly;chory
f9v	7	*chy	dchy	AMBIGUOUS	dchy;kchy;tchy;lchy;ochy
f11r	5	**y	chy	AMBIGUOUS	chy;oty;shy;oky;oly
f11v	3	*ar	dar	AMBIGUOUS	dar;sar;kar;tar;rar
f11v	4	t*	ty	HIGH	ty;to;tl;te
f11v	4	t*	ty	HIGH	ty;to;tl;te
f13r	2	qot*y	qotey	HIGH	qotey;qotoy;qotdy;qotay
f13r	7	qo**y	qokey	AMBIGUOUS	qokey;qotey;qoeey;qolky;qokdy
f13r	8	k**	kar	AMBIGUOUS	kar;kol;kal;kor;key
f13v	2	*tchol	otchol	HIGH	otchol;ytchol
f13v	4	qo*	qol	AMBIGUOUS	qol;qor;qok;qot;qoy
f14r	8	*chol	dchol	AMBIGUOUS	dchol;kchol;tchol;ychol;pchol
f14r	8	*chol	dchol	AMBIGUOUS	dchol;kchol;tchol;ychol;pchol
f14r	12	oeee*	oeees	HIGH	oeees;oeeey;oeeed;oeeen;oeeeo
f15r	10	ch**y	chedy	AMBIGUOUS	chedy;cheey;chody;cheky;choty
f15r	12	*y	dy	AMBIGUOUS	dy;sy;ky;ty;ly
f15r	13	*ar	dar	AMBIGUOUS	dar;sar;kar;tar;rar
f15v	2	*chor	dchor	AMBIGUOUS	dchor;kchor;tchor;ychor;pchor
f15v	2	*chor	dchor	AMBIGUOUS	dchor;kchor;tchor;ychor;pchor
f15v	2	*ain	dain	AMBIGUOUS	dain;sain;kain;rain;tain
f15v	2	*chor	dchor	AMBIGUOUS	dchor;kchor;tchor;ychor;pchor
f15v	2	*ain	dain	AMBIGUOUS	dain;sain;kain;rain;tain
f15v	2	*chor	dchor	AMBIGUOUS	dchor;kchor;tchor;ychor;pchor
f15v	2	*ain	dain	AMBIGUOUS	dain;sain;kain;rain;tain
f15v	7	*	s	AMBIGUOUS	s;y;r;o;l
f15v	7	*	s	AMBIGUOUS	s;y;r;o;l
f15v	7	*chy	dchy	AMBIGUOUS	dchy;kchy;tchy;lchy;ochy
f16r	10	ypcho*	ypchol	HIGH	ypchol;ypchor
f16r	13	qok*or	qokeor	HIGH	qokeor;qokoor
f16v	1	pcho*y	pchody	HIGH	pchody;pcholy;pchofy
f16v	7	ch*y	chey	AMBIGUOUS	chey;chdy;chky;chty;choy
f16v	10	*y	dy	AMBIGUOUS	dy;sy;ky;ty;ly
f17r	4	tcho*	tchor	AMBIGUOUS	tchor;tchol;tchos;tchod;tchom
f17r	4	tcho*	tchor	AMBIGUOUS	tchor;tchol;tchos;tchod;tchom
f17r	6	choto*	chotol	HIGH	chotol;chotor;chotom;chotoj
f17r	7	d*	dy	AMBIGUOUS	dy;dl;do;da;dm
f17r	7	**pchy	qopchy	HIGH	qopchy;chpchy;dypchy;yypchy
f17r	7	**epchy	shepchy	HIGH	shepchy;chepchy;keepchy;eeepchy;qoepchy
f17r	10	*ain	dain	AMBIGUOUS	dain;sain;kain;rain;tain
f17r	10	*ain	dain	AMBIGUOUS	dain;sain;kain;rain;tain
f17v	17	*ar	dar	AMBIGUOUS	dar;sar;kar;tar;rar
f18r	1	darod*	darody	HIGH	darody;darode
f18r	1	o*or	otor	AMBIGUOUS	otor;olor;okor;odor;opor
f18v	2	shy*	shyo	HIGH	shyo;shyr;shyk;shyy
f19r	2	*	s	AMBIGUOUS	s;y;r;o;l
f19r	2	ch*	chy	AMBIGUOUS	chy;cho;chl;chs;chr
f19r	2	cho*	chol	AMBIGUOUS	chol;chor;chos;chom;choy
f19r	7	q*t	qot	CERTAIN	qot
f19v	5	qocth*y	qocthey	HIGH	qocthey;qocthsy;qocthdy
f19v	9	qoto*y	qotody	HIGH	qotody;qotoky;qotoly;qotohy
f20r	5	*y	dy	AMBIGUOUS	dy;sy;ky;ty;ly
f20r	5	cheee*	cheeey	HIGH	cheeey;cheees;cheeeo;cheeen
f20r	5	*	s	AMBIGUOUS	s;y;r;o;l
f20r	5	*	s	AMBIGUOUS	s;y;r;o;l
f20v	6	cheo*y	cheody	AMBIGUOUS	cheody;cheoky;cheoty;cheoly;cheory
f20v	9	d*	dy	AMBIGUOUS	dy;dl;do;da;dm
f20v	9	d*	dy	AMBIGUOUS	dy;dl;do;da;dm
f20v	9	*	s	AMBIGUOUS	s;y;r;o;l
f20v	10	*ty	oty	AMBIGUOUS	oty;yty;ety;cty;aty
f20v	11	*ol	qol	AMBIGUOUS	qol;dol;sol;tol;lol
f22r	7	*	s	AMBIGUOUS	s;y;r;o;l
f22r	8	do*iin	doiiin	HIGH	doiiin;doaiin
f22r	8	do*iin	doiiin	HIGH	doiiin;doaiin
f22r	9	o*aiino	ofaiino	HIGH	ofaiino;oraiino;olaiino
f22v	1	q*d	qod	CERTAIN	qod
f22v	5	daii**	daiiin	AMBIGUOUS	daiiin;daiidy;daiiny;daiiry;daiijy
f23r	10	q*k	qok	HIGH	qok;qyk
f23v	2	qo*eotor	qoteotor	CERTAIN	qoteotor
f23v	10	ctho*	cthol	AMBIGUOUS	cthol;cthor;cthom;cthod;cthos
f24r	7	q*kar	qokar	HIGH	qokar;qekar;qakar
f24r	10	q*or	qoor	HIGH	qoor;qkor;qlor
f24r	10	q*ar	qoar	HIGH	qoar;qkar;qear;qtar
f24v	2	yd**s	ydals	HIGH	ydals;ydees
f24v	3	****	aiin	AMBIGUOUS	aiin;chol;chey;shey;chor
f24v	5	**r	dar	AMBIGUOUS	dar;sar;dor;air;kar
f24v	6	*ar	dar	AMBIGUOUS	dar;sar;kar;tar;rar
f24v	6	*r	or	AMBIGUOUS	or;ar;lr;dr;yr
f24v	12	*to	oto	HIGH	oto;yto;cto
f24v	12	qok*	qoky	AMBIGUOUS	qoky;qokl;qoko;qokg;qokd
f25r	1	*in	ain	HIGH	ain;oin;iin
f25v	1	***aiin	qokaiin	AMBIGUOUS	qokaiin;qotaiin;olkaiin;qodaiin;chkaiin
f25v	6	*	s	AMBIGUOUS	s;y;r;o;l
f25v	6	*	s	AMBIGUOUS	s;y;r;o;l
f25v	7	o*	ol	AMBIGUOUS	ol;or;os;om;ot
f26r	2	*aiin	daiin	AMBIGUOUS	daiin;saiin;kaiin;raiin;taiin
f26v	1	o*iiin	oiiiin	HIGH	oiiiin;otiiin
f26v	1	d*rin	darin	CERTAIN	darin
f26v	1	o**iin	okaiin	AMBIGUOUS	okaiin;otaiin;odaiin;olaiin;oraiin
f26v	2	ar**	aral	AMBIGUOUS	aral;arol;aram;arar;aror
f26v	6	ch*ky	cheky	AMBIGUOUS	cheky;choky;chyky;chsky;chcky
f27v	4	kch*d	kchod	HIGH	kchod;kched
f28v	9	*	s	AMBIGUOUS	s;y;r;o;l
f29r	5	a*	ar	AMBIGUOUS	ar;al;am;an;as
f29v	9	ykch*	ykchy	AMBIGUOUS	ykchy;ykcho;ykchs;ykcha;ykchn
f31r	2	***in	daiin	AMBIGUOUS	daiin;saiin;okain;kaiin;raiin
f31r	4	ch*d*	chedy	AMBIGUOUS	chedy;chody;chsdy;chady;chydy
f38v	7	*	s	AMBIGUOUS	s;y;r;o;l
f38v	7	*	s	AMBIGUOUS	s;y;r;o;l
f39r	2	shckh*y	shckhey	HIGH	shckhey;shckhdy;shckhhy;shckhfy
f39r	3	ch**y	chedy	AMBIGUOUS	chedy;cheey;chody;cheky;choty
f39r	7	ch*dy	chedy	AMBIGUOUS	chedy;chody;chsdy;chady;chydy
f40v	17	o*y	oty	AMBIGUOUS	oty;oky;oly;ody;ory
f41r	3	ra*	rar	AMBIGUOUS	rar;ral;ram;ras;ray
f41r	3	qok***	qokedy	AMBIGUOUS	qokedy;qokeey;qokain;qokchy;qokeol
f42r	22	choro*	choror	HIGH	choror;chorol;chorom
f43r	3	ytch*y	ytchey	HIGH	ytchey;ytchdy;ytchoy;ytchpy
f43r	5	ch*dy	chedy	AMBIGUOUS	chedy;chody;chsdy;chady;chydy
f43r	13	od*dy	odady	HIGH	odady;odydy;odody
f43v	15	darod*	darody	HIGH	darody;darode
f44r	6	o*checkhy	olcheckhy	CERTAIN	olcheckhy
f45r	9	*oror	toror	HIGH	toror;poror;doror;loror;ooror
f45v	5	oty*	otys	HIGH	otys;otyd;otyl
f45v	6	*	s	AMBIGUOUS	s;y;r;o;l
f45v	6	*	s	AMBIGUOUS	s;y;r;o;l
f46r	1	chepch*	chepchy	HIGH	chepchy;chepchx
f46r	7	*olshol	polshol	HIGH	polshol;dolshol;xolshol
f46v	3	sh*y	shey	AMBIGUOUS	shey;shdy;shky;shty;shoy
f47r	8	cho*	chol	AMBIGUOUS	chol;chor;chos;chom;choy
f48r	6	da*dy	daldy	HIGH	daldy;dardy;daidy;daedy
f48r	6	da*dy	daldy	HIGH	daldy;dardy;daidy;daedy
f48v	11	*ckhy	ockhy	AMBIGUOUS	ockhy;qckhy;ackhy;dckhy;sckhy
f49v	5	*	s	AMBIGUOUS	s;y;r;o;l
f49v	6	*	s	AMBIGUOUS	s;y;r;o;l
f49v	6	*	s	AMBIGUOUS	s;y;r;o;l
f49v	6	*	s	AMBIGUOUS	s;y;r;o;l
f49v	11	*	s	AMBIGUOUS	s;y;r;o;l
f49v	11	*	s	AMBIGUOUS	s;y;r;o;l
f49v	11	r*	ry	AMBIGUOUS	ry;ro;rl;rd;rn
f49v	13	*	s	AMBIGUOUS	s;y;r;o;l
f49v	14	*	s	AMBIGUOUS	s;y;r;o;l
f49v	14	*	s	AMBIGUOUS	s;y;r;o;l
f49v	14	*	s	AMBIGUOUS	s;y;r;o;l
f49v	15	*	s	AMBIGUOUS	s;y;r;o;l
f49v	18	*	s	AMBIGUOUS	s;y;r;o;l
f49v	18	r*	ry	AMBIGUOUS	ry;ro;rl;rd;rn
f49v	20	*	s	AMBIGUOUS	s;y;r;o;l
f49v	21	*	s	AMBIGUOUS	s;y;r;o;l
f49v	21	*	s	AMBIGUOUS	s;y;r;o;l
f49v	21	*	s	AMBIGUOUS	s;y;r;o;l
f49v	24	*	s	AMBIGUOUS	s;y;r;o;l
f49v	12	choka*	chokal	HIGH	chokal;chokar;chokam;chokan
f50v	5	ok*dyd	okedyd	CERTAIN	okedyd
f51r	13	yk*eol	ykeeol	CERTAIN	ykeeol
f51r	13	yk*eol	ykeeol	CERTAIN	ykeeol
f51v	11	shee*	sheey	AMBIGUOUS	sheey;shees;sheeo;sheed;sheet
f54r	7	d*sh	dysh	HIGH	dysh;dash
f54v	2	ctha*ldy	cthaildy	CERTAIN	cthaildy
f54v	5	o*aiin	okaiin	AMBIGUOUS	okaiin;otaiin;odaiin;olaiin;oraiin
f55r	8	*ar	dar	AMBIGUOUS	dar;sar;kar;tar;rar
