<fRos>     <! $Q=N $P=D      $B=1 $I=C $L=B $H=4 $C=3>
<fRos.1,@L0>      <!1:11>saeeasa?
<fRos.2,@Cc>      <!10:30>oto.tosaes.adar.otar.otes,okaiin.dal,al,chdar.otdar.chefchs.okor.ol.om.olkeeodaiin.shol.okal.orshees.qoeey.okalol.otodr.ochs.ar,ol.oqokam.oteed.oteedy.okedy.lraiin.or,aiin.okor.okeedy
<fRos.3,@L0>      <!1:1>ofain,ain
<fRos.4,+L0>      <!1:2>ych,?ais
<fRos.5,+L0>      <!1:3>ydekam
<fRos.6,+L0>      <!1:4>darchedy
<fRos.7,+L0>      <!1:5>otochedy,sy
<fRos.8,+L0>      <!1:6>soeedoy.olal
<fRos.9,+L0>      <!1:7>dchor.orary
<fRos.10,+L0>     <!1:8>sairo[j:d]am
<fRos.11,@L0>     <!1:9>okchdarar
<fRos.12,@L0>     <!2:9>soiindy
<fRos.13,@L0>     <!2:10>ytedar
<fRos.14,@L0>     <!2:11>[d:?]dsschx
<fRos.15,@L0>     <!2:13>daldar
<fRos.16,@L0>     <!2:12>ofardy
<fRos.17,@L0>     <!1:10>orarol
<fRos.18,@L0>     <!4:1>daldal
<fRos.19,@L0>     <!4:2>da[r:s]aldy
<fRos.20,@Cc>     <!05:00>sais,od,r,ar.or.okal.okal.or.alal.ykal.ol.ar.ol.al.ol.al,lor.okan.okod.oked.okeo.ldy.opashs.otedy.chedchs.sheekedy.odal.shd.olkeedy.yky,kaiir.okchdy.otol,ar,y<->aiin.aiir.oeal.okchdy.oly<->okain.olkaiin.ody
<fRos.21,@L0>     <!4:3>oko
<fRos.22,@L0>     <!4:4>daiiny
<fRos.23,@L0>     <!4:5>do{cfhh}y
<fRos.24,@L0>     <!4:6>okedy
<fRos.25,@L0>     <!4:7>o[k:p]ary
<fRos.26,@L0>     <!4:8>opain
<fRos.27,@L0>     <!4:9>opar
<fRos.28,@L0>     <!4:10>adairy
<fRos.29,@L0>     <!4:11>dxar
<fRos.30,@L0>     <!4:12>okory
<fRos.31,@L0>     <!4:13>opo[k:t]chosody
<fRos.32,@L0>     <!7:12>adashgasain
<fRos.33,@L0>     <!7:13>cfair.o@213;ol{c@133;h}y
<fRos.34,@L0>     <!7:1>okody
<fRos.35,@Cc>     <!00:00>okos.{cp}or.air,u.oteoteedy.otos.otedar.ches.okodainol.ykedy.eedor.tchdaiin.sy.sarald.todar.chkar.odair.or.oal.okchdy.seedy.oteedy.ykchda.cheky.o.aiin.okees.olar.or.ykeedy.okeo,lodaiin.or.olaiiin.olar
<fRos.36,@Cc>     <!Spiral>o?ochs.octhey.osar,aram.arkeeody.ochdor,ol.oekairy.ytodaro.opalshy.or,arodar.ykodar.ykodar.ykary.opalxy
<fRos.37,@L0>     <!7:10>opoor,daly
<fRos.38,@L0>     <!7:7>okas.oedady
<fRos.39,@Pb>     <!7:5><%>kechy.qolchedar,ar
<fRos.40,+Pb>     <!7:6>otedy.chdaiin.oty<$>
<fRos.41,@L0>     <!7:3>o[s:r]al
<fRos.42,@L0>     <!7:2>{cp}eey
<fRos.43,@L0>     <!7:4>okor
<fRos.44,@L0>     <!7:8>sarchcphdy
<fRos.45,@L0>     <!7:9>otchdy.otoldy
<fRos.46,@L0>     <!7:11>ofchedaiin
<fRos.47,@Cc>     <!10:30>osar.otar.otodeedy.oty,daiin.sheor.oar.otedy,qotedy.oteey.otoraiin.chekad?r.ol.aiin.okedal.olor.op[o:a]iiral.eeealky.[y:?]tar.qokeo,l.tched.oiin.oteedaiin.odal.cheky.otchdor.or.olkoaiin.ok[a:o]l,o,laiin
<fRos.48,@L0>     <!2:1>otedal
<fRos.49,@L0>     <!2:2>opaiin,o
<fRos.50,@L0>     <!2:3>otchdy
<fRos.51,@L0>     <!2:4>okchy
<fRos.52,@L0>     <!2:5>chkeedy
<fRos.53,@L0>     <!2:6>opairar
<fRos.54,@L0>     <!2:7>odee[?:d]y
<fRos.55,@L0>     <!2:8>okody
<fRos.56,@L0>     <!3:22>depcheky
<fRos.57,@L0>     <!3:23>ot[ch:a]
<fRos.58,@L0>     <!3:24>osy
<fRos.59,@L0>     <!3:25>[o:a]dl
<fRos.60,@L0>     <!3:26>d,dy
<fRos.61,@L0>     <!3:27>oteey
<fRos.62,@Cc>     <!00:00>otor.os.om.araiin.okeody.okar.odsheedy.odaiin.okchdy.okar.shor.okaiin.daiin.ofair.oly.olkair,odal.olkalor.olor<->s.y.o.d.esha,x.k.r.olar.oteedaiin.otes,ar.yqos.aiiin.ol.qotody.ol.oir.or.oroa.oteeedy.okal.okodar.otshe.okody.otedy.chdar.o'
<fRos.63,@L0>     <!5:1>oteedy
<fRos.64,@L0>     <!5:2>opy
<fRos.65,@L0>     <!5:3>odal
<fRos.66,@L0>     <!5:4>shdy
<fRos.67,@L0>     <!5:5>opchees
<fRos.68,@L0>     <!5:6>opar
<fRos.69,@L0>     <!5:7>daral
<fRos.70,@L0>     <!5:8>otdodar.oedy
<fRos.71,@L0>     <!5:9>soshxor.arar
<fRos.72,@L0>     <!5:10>otedain.otedy
<fRos.73,@L0>     <!5:11>ytedar.ary
<fRos.74,@L0>     <!5:12>opcheda[iin:iir]
<fRos.75,@L0>     <!5:13>ols
<fRos.76,@L0>     <!5:14>ypal
<fRos.77,@L0>     <!5:15>opydsh
<fRos.78,@L0>     <!5:16>rshy
<fRos.79,@L0>     <!5:17>olz
<fRos.80,@L0>     <!5:18>dtedg
<fRos.81,@L0>     <!5:19>opy
<fRos.82,@L0>     <!5:20>ofdaj
<fRos.83,@L0>     <!5:21>ddary
<fRos.84,@L0>     <!5:22>ot[o:e]dy
<fRos.85,@L0>     <!5:23>dairdy
<fRos.86,@L0>     <!5:24>rody
<fRos.87,@Cc>     <!07:30>yke.okees.olchedy.okal,y.dol.otodar.shekal<->olkar.cheykar.shal.qokal.okchr.otar.otody.otody.otody.otas.chfol.okshy.okem.okar.ar.okedy.okedy.okchedy.eeekchedy.ofchdor.qotchdy.kar.chdar,chekolko{iph}
<fRos.88,@L0>     <!8:1>ofary
<fRos.89,@L0>     <!8:2>okady
<fRos.90,@L0>     <!8:3>okchdy.kary
<fRos.91,@L0>     <!8:4>oraiin,eey
<fRos.92,@L0>     <!9:3>opodchd[a:?]l
<fRos.93,@L0>     <!9:2>dar[ch:ee]dy
<fRos.94,@Cc>     <!07:30>otchdaiin.otodar.otedar.otar,odaiin.olkaiin.otl.xasashe.ol.ar.a{ikh}e.chedaiin.ockhedy.shed[a:y].otody.okedal,d.or,aiin.otody.toor.chepar.ol.chckhy.opchdar.o,r.a,r.al.xar.opor.olchedy.okalm.or.afalairidy
