Phase 505: Full Compound Decomposition Table
==========================================================================================

      MIDDLE  HEAD         MODS  TERM     CATEGORY  FREQ  GLOSS
------------ ----- ------------ ----- ------------ -----  -----------------------------------
        alsh     a          l+s     h      STAGING     5  yield + state + sequence + watch
          ak     a            -     k      THERMAL    12  yield + heat
         alk     a            l     k      STAGING    10  yield + state + heat
          al     a            -     l         FLOW   521  yield + state
          am     a            -     m   TRANSITION   174  yield + final
        aiin     a           ii     n   TRANSITION   834  yield + iterate(ixi) + halt
         ain     a            i     n         FLOW   420  yield + iterate + halt
          an     a            -     n  CONTAINMENT    18  yield + halt
          ar     a            -     r         FLOW   677  yield + respond
         air     a            i     r         FLOW     6  yield + iterate + respond
          ai     a            i     -   TRANSITION   174  yield + iterate
         aii     a           ii     -      UNKNOWN    32  yield + iterate(ixi)
          ad     a            d     -      MARKING     7  yield + mark
        airo     a        i+r+o     -         FLOW     7  yield + iterate + respond + arrange

         ech     e            c     h   MONITORING    34  cool + adjust + watch
        eckh     e          c+k     h      MARKING    29  cool + adjust + heat + watch
        ecth     e          c+t     h         FLOW    12  cool + adjust + transfer + watch
        epch     e          p+c     h      MARKING     8  cool + pause + adjust + watch
        efch     e          f+c     h      MARKING     6  cool + flag + adjust + watch
          ek     e            -     k    OPERATION   169  cool + heat
         eck     e            c     k  CONTAINMENT    90  cool + adjust + heat
         eek    ee            -     k  CONTAINMENT    54  cool(exe) + heat
         eok     e            o     k      THERMAL    39  cool + arrange + heat
        eolk     e          o+l     k      THERMAL     9  cool + arrange + state + heat
         eyk     e            y     k      THERMAL     8  cool + end + heat
        eock     e          o+c     k      THERMAL     7  cool + arrange + adjust + heat
         edk     e            d     k      THERMAL     5  cool + mark + heat
         eol     e            o     l      THERMAL   294  cool + arrange + state
        eeol    ee            o     l      THERMAL    47  cool(exe) + arrange + state
          et     e            -     t      STAGING    58  cool + transfer
         ect     e            c     t   MONITORING    47  cool + adjust + transfer
         eet    ee            -     t      THERMAL    22  cool(exe) + transfer
         eot     e            o     t         FLOW    13  cool + arrange + transfer
        eoct     e          o+c     t         FLOW     5  cool + arrange + adjust + transfer
         edy     e            d     y    OPERATION  1938  cool + mark + end
          ey     e            -     y   TRANSITION   889  cool + end
         eey    ee            -     y      THERMAL   644  cool(exe) + end
          ed     e            d     -         FLOW   401  cool + mark
          eo     e            o     -   TRANSITION   359  cool + arrange
          ee    ee            -     -      THERMAL   151  cool(exe)
         eeo    ee            o     -    OPERATION   133  cool(exe) + arrange
         eed    ee            d     -      THERMAL    88  cool(exe) + mark
         eod     e          o+d     -   TRANSITION    82  cool + arrange + mark
          ep     e            p     -      MARKING    16  cool + pause
        eeod    ee          o+d     -      THERMAL    16  cool(exe) + arrange + mark
          ec     e            c     -      MARKING    16  cool + adjust
          es     e            s     -      STAGING    15  cool + sequence
         eee   eee            -     -      THERMAL    14  cool(exexe)
        edai     e        d+a+i     -      MARKING    11  cool + mark + yield + iterate
        eeeo   eee            o     -      THERMAL    10  cool(exexe) + arrange
         ees    ee            s     -      THERMAL     9  cool(exe) + sequence
         eda     e          d+a     -      MARKING     9  cool + mark + yield
          ea     e            a     -      THERMAL     8  cool + yield
         eke     e          k+e     -      THERMAL     7  cool + heat + cool
         eec    ee            c     -      THERMAL     6  cool(exe) + adjust
         eef    ee            f     -      THERMAL     6  cool(exe) + flag
          ef     e            f     -      MARKING     6  cool + flag
         edo     e          d+o     -      MARKING     5  cool + mark + arrange
         ekc     e          k+c     -      THERMAL     5  cool + heat + adjust
         ede     e          d+e     -      THERMAL     5  cool + mark + cool

          ii    ii            -     -      STAGING    23  iterate(ixi)

         kch     k            c     h      THERMAL   148  heat + adjust + watch
         ksh     k            s     h   MONITORING    26  heat + sequence + watch
        kech     k          e+c     h      THERMAL     8  heat + cool + adjust + watch
        kesh     k          e+s     h      THERMAL     5  heat + cool + sequence + watch
         kal     k            a     l      STAGING    10  heat + yield + state
          ke     k            e     -      THERMAL   421  heat + cool
