folio_id,total_tokens,link_count,link_density,mean_link_run,max_link_run,kernel_k,kernel_h,kernel_e,kernel_contact_ratio,kernel_dominance,hazard_events,hazard_density,boundary_hazard_weight,cycle_count,cycle_order,convergence_speed,terminal_state,aggressiveness,conservatism,control_margin,near_miss,restart_capable,recovery_ops,cf1_density,cf2_density,cf3_density,boundary_attention,waiting_attention,waiting_profile,risk_profile,intervention_style,stability_role
f103r,1150,333,0.2896,1.51,6,0,0,0,0.708,k,0,0.686,0,104,2,0.2381,other,0.8964,0.2036,0.314,35,False,12,0,0,0,0,0,LOW,TIGHT_MARGIN,BALANCED,TRANSITION_HEAVY
f103v,1018,342,0.336,1.57,7,0,0,0,0.66,k,0,0.616,0,109,2,0.2336,other,0.78,0.32,0.384,26,False,21,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,TRANSITION_HEAVY
f104r,951,378,0.3975,1.54,7,0,0,0,0.598,k,0,0.572,0,112,2,0.2427,STATE-C,0.6745,0.4255,0.428,30,False,18,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,MIXED
f104v,920,306,0.3326,1.59,5,0,0,0,0.663,k,0,0.641,0,97,2,0.2427,STATE-C,0.8084,0.2916,0.359,33,False,8,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,TRANSITION_HEAVY
f105r,756,390,0.5159,2.15,11,0,0,0,0.477,k,0,0.454,0,102,2,0.2488,STATE-C,0.4381,0.6619,0.546,14,False,11,0,0,0,0,0,EXTREME,BALANCED,CONSERVATIVE,MIXED
f105v,1180,626,0.5305,2.42,37,0,0,0,0.464,k,0,0.422,0,254,2,0.2037,STATE-C,0.3915,0.7085,0.578,36,False,28,0,0,0,0,0,EXTREME,TIGHT_MARGIN,CONSERVATIVE,MAINTENANCE_HEAVY
f106r,1304,523,0.4011,1.8,17,0,0,0,0.596,k,0,0.583,0,175,2,0.2262,other,0.6819,0.4181,0.417,44,False,12,0,0,0,0,0,HIGH,TIGHT_MARGIN,BALANCED,MIXED
f106v,1847,698,0.3779,1.69,7,0,0,0,0.62,k,0,0.609,0,203,2,0.2132,other,0.7311,0.3689,0.391,75,False,8,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,MAINTENANCE_HEAVY
f107r,1475,658,0.4461,1.84,8,0,0,0,0.551,k,0,0.529,0,206,2,0.2439,STATE-C,0.5829,0.5171,0.471,27,False,19,0,0,0,0,0,HIGH,TIGHT_MARGIN,BALANCED,MIXED
f107v,1367,584,0.4272,1.78,8,0,0,0,0.569,k,0,0.55,0,175,2,0.2315,other,0.6228,0.4772,0.45,30,False,9,0,0,0,0,0,HIGH,TIGHT_MARGIN,BALANCED,MIXED
f108r,1465,488,0.3331,1.6,8,0,0,0,0.664,k,0,0.643,0,144,2,0.2132,STATE-C,0.8099,0.2901,0.357,39,False,17,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,TRANSITION_HEAVY
f108v,1696,566,0.3337,1.48,6,0,0,0,0.664,k,0,0.627,0,155,2,0.2075,STATE-C,0.7933,0.3067,0.373,48,False,29,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,TRANSITION_HEAVY
f111r,1811,702,0.3876,1.69,6,0,0,0,0.61,k,0,0.583,0,156,2,0.2174,STATE-C,0.6954,0.4046,0.417,65,False,24,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,MAINTENANCE_HEAVY
f111v,2210,758,0.343,1.68,6,0,0,0,0.655,k,0,0.64,0,220,2,0.2232,other,0.797,0.303,0.36,79,False,19,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,TRANSITION_HEAVY
f112r,1507,638,0.4234,1.78,9,0,0,0,0.574,k,0,0.561,0,167,2,0.2045,STATE-C,0.6376,0.4624,0.439,49,False,10,0,0,0,0,0,HIGH,TIGHT_MARGIN,BALANCED,MAINTENANCE_HEAVY
f112v,1658,608,0.3667,1.63,6,0,0,0,0.631,k,0,0.602,0,172,2,0.1808,other,0.7353,0.3647,0.398,51,False,30,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,MAINTENANCE_HEAVY
f113r,1879,747,0.3976,1.6,6,0,0,0,0.6,k,0,0.585,0,182,2,0.2155,STATE-C,0.6874,0.4126,0.415,47,False,20,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,MAINTENANCE_HEAVY
f113v,1427,650,0.4555,1.99,10,0,0,0,0.541,k,0,0.525,0,158,2,0.2331,STATE-C,0.5695,0.5305,0.475,40,False,13,0,0,0,0,0,HIGH,TIGHT_MARGIN,CONSERVATIVE,MAINTENANCE_HEAVY
