source_b,target_a,heading_word,count
f31r,f58v,tol,1
f31v,f58r,kor,1
f33r,f58r,kor,1
f34r,f58v,tol,1
f34v,f58v,tol,1
f39v,f10v,paiin,1
f39v,f35v,par,1
f39v,f58r,kor,2
f40r,f96r,tor,1
f40v,f58r,kor,1
f41r,f35v,par,1
f43v,f58v,tol,1
f46v,f96r,tor,1
f48r,f58v,tol,1
f48v,f58r,kor,1
f48v,f58v,tol,1
f48v,f96r,tor,1
f50r,f11r,tshol,1
f55r,f42r,sho,1
f55r,f42v,tcho,1
f55r,f54r,podaiin,1
f55v,f96r,tor,1
f66r,f49v,r*,1
f75r,f42r,sho,1
f75v,f58v,tol,3
f76v,f58v,tol,1
f77r,f22r,pol,2
f77r,f58v,tol,1
f77v,f19r,pchor,1
f77v,f21r,pchor,1
f77v,f42v,tcho,2
f77v,f52v,pchor,1
f77v,f101r1,pcheol,1
f78r,f29r,poraiin,1
f78r,f58v,tol,1
f79r,f19r,pchor,1
f79r,f21r,pchor,1
f79r,f22r,pol,4
f79r,f52v,pchor,1
f79r,f96r,tor,1
f79v,f22r,pol,1
f80r,f10v,paiin,1
f80r,f58r,kor,1
f80r,f58v,tol,1
f80r,f96r,tor,1
f80r,f101r1,pcheol,1
f80v,f8r,pshol,1
f80v,f22r,pol,4
f80v,f58v,tol,4
f80v,f96r,tor,2
f80v,f101r1,pcheol,1
f81r,f35v,par,1
f81v,f22r,pol,1
f81v,f35v,par,1
f82v,f22r,pol,1
f82v,f58v,tol,1
f82v,f101r1,pcheol,2
f83r,f19r,pchor,1
f83r,f21r,pchor,1
f83r,f52v,pchor,1
f83r,f58v,tol,1
f84r,f8r,pshol,1
f84r,f22r,pol,1
f84r,f58v,tol,1
f84r,f96r,tor,2
f84v,f58r,kor,2
f84v,f58v,tol,1
f85r1,f54r,podaiin,1
f86v4,f22r,pol,1
f86v4,f42r,sho,1
f86v4,f54v,pcheodar,1
f86v4,f58v,tol,1
f86v6,f10v,paiin,1
f86v6,f22r,pol,1
f86v6,f35v,par,1
f86v6,f54r,podaiin,1
f86v5,f19r,pchor,1
f86v5,f21r,pchor,1
f86v5,f52v,pchor,1
f86v5,f58v,tol,1
f86v5,f96r,tor,1
f94v,f35v,par,1
f95r2,f96r,tor,1
f95v1,f7r,fchodaiin,1
f95v1,f15r,tshor,1
f95v1,f28v,kshol,1
f95v1,f42r,sho,1
f95v1,f53v,tshor,1
f103r,f58v,tol,1
f103v,f19r,pchor,1
f103v,f21r,pchor,1
f103v,f22r,pol,3
f103v,f42r,sho,2
f103v,f52v,pchor,1
f103v,f90v1,pcheor,1
f104r,f58v,tol,1
f104v,f35v,par,1
f104v,f42r,sho,2
f104v,f90v1,pcheor,1
f105r,f10v,paiin,2
f105r,f35v,par,1
f105r,f58r,kor,1
f105r,f87v,pcheey,1
f105r,f90v1,pcheor,1
f105v,f10v,paiin,1
f105v,f19r,pchor,1
f105v,f21r,pchor,1
f105v,f42r,sho,1
f105v,f52v,pchor,1
f105v,f96r,tor,1
f106r,f42r,sho,3
f106r,f54v,pcheodar,1
f106r,f101r1,pcheol,1
f106v,f14r,pchodaiin,1
f106v,f42r,sho,1
f106v,f44v,tsho,1
f107r,f13r,torshor,1
f107r,f22r,pol,1
f107r,f58v,tol,1
f107v,f10v,paiin,1
f107v,f22r,pol,1
f107v,f29r,poraiin,1
f107v,f42r,sho,1
f107v,f58v,tol,4
f108r,f42r,sho,1
f108v,f22r,pol,1
f108v,f58v,tol,1
f108v,f90v1,pcheor,1
f111v,f22r,pol,1
f111v,f35v,par,1
f111v,f42r,sho,2
f111v,f96r,tor,1
f112v,f14r,pchodaiin,1
f113r,f19r,pchor,1
f113r,f21r,pchor,1
f113r,f32v,kcheodaiin,1
f113r,f42v,tcho,1
f113r,f52v,pchor,1
f113r,f58v,tol,1
f113v,f22r,pol,1
f113v,f29r,poraiin,1
f113v,f44v,tsho,1
f113v,f101r1,pcheol,2
f114r,f90v1,pcheor,1
f114v,f22r,pol,1
f114v,f42r,sho,1
f115r,f28r,pchodar,1
f115v,f14r,pchodaiin,1
f115v,f42r,sho,1
f115v,f58v,tol,1
f116r,f58v,tol,1
